,spec_id,partial,model_name,lr,update_num,aupr
0,10.0,1.0,google/bigbird-roberta-base,1e-05,200,0.24018150272126268
1,10.1,1.0,google/bigbird-roberta-base,1e-05,800,0.3124479987897028
2,10.10,1.0,google/bigbird-roberta-base,5e-06,400,0.6113555706397061
3,10.11,1.0,google/bigbird-roberta-base,5e-06,800,0.7691177780446682
4,10.12,1.0,google/bigbird-roberta-base,1e-05,800,0.8023436163128483
5,10.13,1.0,google/bigbird-roberta-base,5e-05,200,0.38291245791245787
6,10.2,1.0,google/bigbird-roberta-base,5e-05,400,0.33003005696594623
7,10.3,1.0,google/bigbird-roberta-base,5e-05,600,0.2984513024958938
8,10.4,1.0,google/bigbird-roberta-base,1e-05,600,0.20137024999077072
9,10.5,1.0,google/bigbird-roberta-base,5e-06,200,0.6267596637615084
10,10.6,1.0,google/bigbird-roberta-base,5e-05,800,0.47962962962962963
11,10.7,1.0,google/bigbird-roberta-base,1e-05,600,0.7338589574480836
12,10.8,1.0,google/bigbird-roberta-base,5e-06,400,0.36781710472540013
13,10.9,1.0,google/bigbird-roberta-base,5e-06,400,0.5911924780081487
14,101,1.0,google/bigbird-roberta-base,5e-05,800,0.9851721050150011
15,102,1.0,google/bigbird-roberta-base,5e-05,600,0.954554406732437
16,103,1.0,google/bigbird-roberta-base,5e-06,800,0.5941780610987929
17,105.0,1.0,google/bigbird-roberta-base,5e-06,600,0.04776269482151835
18,105.1,1.0,google/bigbird-roberta-base,1e-05,400,0.9222222222222222
19,105.2,1.0,google/bigbird-roberta-base,5e-05,600,0.8033075941852358
20,105.3,1.0,google/bigbird-roberta-base,1e-05,800,0.7736344930789375
21,105.4,1.0,google/bigbird-roberta-base,5e-06,200,1.0
22,105.5,1.0,google/bigbird-roberta-base,1e-05,200,0.15429599640125954
23,105.6,1.0,google/bigbird-roberta-base,5e-06,600,0.0785650109100244
24,105.7,1.0,google/bigbird-roberta-base,5e-06,400,0.22934472934472935
25,105.8,1.0,google/bigbird-roberta-base,1e-05,800,0.9025902718879567
26,105.9,1.0,google/bigbird-roberta-base,5e-05,600,0.8626066243091864
27,106,1.0,google/bigbird-roberta-base,5e-06,200,0.6909025849737923
28,107.0,1.0,google/bigbird-roberta-base,1e-05,600,0.5618637595391981
29,107.1,1.0,google/bigbird-roberta-base,5e-06,200,0.73061405384724
30,107.2,1.0,google/bigbird-roberta-base,1e-05,200,0.7242175805485305
31,107.3,1.0,google/bigbird-roberta-base,1e-05,800,0.7471649858216578
32,108,1.0,google/bigbird-roberta-base,5e-05,600,0.26661763089299323
33,109,1.0,google/bigbird-roberta-base,1e-05,600,0.9964305428786272
34,11.0,1.0,google/bigbird-roberta-base,5e-06,200,0.17211301230697784
35,11.1,1.0,google/bigbird-roberta-base,5e-05,800,0.16066215913414553
36,11.2,1.0,google/bigbird-roberta-base,5e-05,400,0.23464638636543564
37,11.3,1.0,google/bigbird-roberta-base,1e-05,600,0.4351544134877468
38,113,1.0,google/bigbird-roberta-base,5e-05,400,0.4524005727848775
39,115,1.0,google/bigbird-roberta-base,1e-05,800,0.6873015873015872
40,117,1.0,google/bigbird-roberta-base,5e-05,200,1.0
41,118,1.0,google/bigbird-roberta-base,1e-05,200,0.9708381977313216
42,119,1.0,google/bigbird-roberta-base,1e-05,400,1.0
43,120,1.0,google/bigbird-roberta-base,5e-05,400,0.9880952380952381
44,122,1.0,google/bigbird-roberta-base,1e-05,200,1.0
45,123,1.0,google/bigbird-roberta-base,5e-06,600,0.9334776334776335
46,124,1.0,google/bigbird-roberta-base,5e-06,200,0.8619423461528726
47,126,1.0,google/bigbird-roberta-base,5e-05,200,0.853764923048146
48,13,1.0,google/bigbird-roberta-base,1e-05,800,0.7812623216981143
49,130,1.0,google/bigbird-roberta-base,5e-06,600,1.0
50,15,1.0,google/bigbird-roberta-base,5e-05,600,0.8285714285714286
51,16,1.0,google/bigbird-roberta-base,1e-05,600,0.9925925925925926
52,21,1.0,google/bigbird-roberta-base,5e-06,400,1.0
