,model_name,partial,spec_id,lr,update_num,aupr,category
0,roberta-base,0.05,10.0,0.0001,100,0.20025080664385045,Conditions to Closing
1,roberta-base,0.05,10.1,1e-05,200,0.29645291647400795,Conditions to Closing
2,roberta-base,0.05,10.10,3e-05,100,0.34275797191890023,Conditions to Closing
3,roberta-base,0.05,10.11,1e-05,100,0.448566046295735,Conditions to Closing
4,roberta-base,0.05,10.12,3e-05,200,0.5668965533054838,Conditions to Closing
5,roberta-base,0.05,10.13,1e-05,200,0.3975162374249595,Conditions to Closing
6,roberta-base,0.05,10.2,0.0001,400,0.4138250036145541,Conditions to Closing
7,roberta-base,0.05,10.3,1e-05,200,0.2808417735571192,Conditions to Closing
8,roberta-base,0.05,10.4,3e-05,300,0.2891716788463132,Conditions to Closing
9,roberta-base,0.05,10.5,0.0001,400,0.31846051619358656,Conditions to Closing
10,roberta-base,0.05,10.6,3e-05,300,0.15753618518670898,Conditions to Closing
11,roberta-base,0.05,10.7,1e-05,400,0.5783240299897973,Conditions to Closing
12,roberta-base,0.05,10.8,0.0001,400,0.3717645165191514,Conditions to Closing
13,roberta-base,0.05,10.9,1e-05,100,0.26393637765383976,Conditions to Closing
14,roberta-base,0.05,101,1e-05,300,0.22215762406529188,Deal Protection and Related Provisions
15,roberta-base,0.05,102,0.0001,100,0.24784751191007237,Deal Protection and Related Provisions
16,roberta-base,0.05,103,1e-05,200,0.45849295183660504,Deal Protection and Related Provisions
17,roberta-base,0.05,105.0,0.0001,100,0.18000000000000002,Deal Protection and Related Provisions
18,roberta-base,0.05,105.1,0.0001,300,0.19130824372759858,Deal Protection and Related Provisions
19,roberta-base,0.05,105.2,0.0001,200,0.5488305913098716,Deal Protection and Related Provisions
20,roberta-base,0.05,105.3,0.0001,200,0.3992258517958251,Deal Protection and Related Provisions
21,roberta-base,0.05,105.4,1e-05,100,0.5416666666666666,Deal Protection and Related Provisions
22,roberta-base,0.05,105.5,1e-05,100,0.4365079365079365,Deal Protection and Related Provisions
23,roberta-base,0.05,105.6,1e-05,400,0.0992063492063492,Deal Protection and Related Provisions
24,roberta-base,0.05,105.7,0.0001,400,0.16008183979198473,Deal Protection and Related Provisions
25,roberta-base,0.05,105.8,0.0001,200,0.4482996996472884,Deal Protection and Related Provisions
