,partial,model_name,spec_id,update_num,lr,aupr,category,n_classes
0,1.0,bert-base-cased,10.0,100,3e-05,0.4534124408445521,Conditions to Closing,60
1,1.0,bert-base-cased,10.1,100,0.0001,0.44684127058509127,Conditions to Closing,60
2,1.0,bert-base-cased,10.10,400,3e-05,0.7178913109270134,Conditions to Closing,56
3,1.0,bert-base-cased,10.11,400,3e-05,0.6993635350525155,Conditions to Closing,56
4,1.0,bert-base-cased,10.12,400,3e-05,0.7178142368243051,Conditions to Closing,56
5,1.0,bert-base-cased,10.13,400,0.0001,0.7994543650793652,Conditions to Closing,58
6,1.0,bert-base-cased,10.2,300,3e-05,0.4307603577774317,Conditions to Closing,56
7,1.0,bert-base-cased,10.3,300,3e-05,0.31645936729214935,Conditions to Closing,60
8,1.0,bert-base-cased,10.4,200,3e-05,0.37268702258875086,Conditions to Closing,58
9,1.0,bert-base-cased,10.5,300,3e-05,0.44742407847747206,Conditions to Closing,52
10,1.0,bert-base-cased,10.6,100,1e-05,0.17062685425856783,Conditions to Closing,57
11,1.0,bert-base-cased,10.7,400,3e-05,0.6950742688962089,Conditions to Closing,57
12,1.0,bert-base-cased,10.8,400,1e-05,0.5185428939330538,Conditions to Closing,56
13,1.0,bert-base-cased,10.9,400,3e-05,0.4770347412881643,Conditions to Closing,60
14,1.0,bert-base-cased,101,400,3e-05,0.7251415769648952,Deal Protection and Related Provisions,61
15,1.0,bert-base-cased,102,100,0.0001,0.2585976447634546,Deal Protection and Related Provisions,29
16,1.0,bert-base-cased,103,200,0.0001,0.5259158594684911,Deal Protection and Related Provisions,44
17,1.0,bert-base-cased,105.0,400,1e-05,0.03743589743589744,Deal Protection and Related Provisions,62
18,1.0,bert-base-cased,105.1,300,0.0001,0.5750237416904084,Deal Protection and Related Provisions,56
19,1.0,bert-base-cased,105.2,200,3e-05,0.8981949906941308,Deal Protection and Related Provisions,55
20,1.0,bert-base-cased,105.3,400,3e-05,0.6108702167386634,Deal Protection and Related Provisions,50
21,1.0,bert-base-cased,105.4,200,0.0001,0.5833333333333334,Deal Protection and Related Provisions,60
22,1.0,bert-base-cased,105.5,400,0.0001,0.2722222222222222,Deal Protection and Related Provisions,54
23,1.0,bert-base-cased,105.6,100,1e-05,0.29507429507429506,Deal Protection and Related Provisions,58
24,1.0,bert-base-cased,105.7,200,3e-05,0.5,Deal Protection and Related Provisions,60
25,1.0,bert-base-cased,105.8,300,3e-05,0.7172689148919179,Deal Protection and Related Provisions,51
